,Cm,As,Ap,F1
RF,"[[ 74 113]
 [ 86 125]]",0.5,0.5272238167219065,0.5567928730512249
KNN,"[[ 82 105]
 [ 87 124]]",0.5175879396984925,0.5368114710018147,0.5636363636363637
SVM,"[[100  87]
 [109 102]]",0.507537688442211,0.5347585365328107,0.51
NV,"[[107  80]
 [130  81]]",0.4723618090452261,0.5197684871326105,0.43548387096774194
